review_id,review
1,The pizza was amazing and had lots of cheese. Definitely coming back!
2,Great vegan options and the staff was super friendly.
3,The crust was too salty but the toppings were fresh and flavorful.
4,"I loved the ambience, but the pizza sauce was too tangy for my taste."
5,Ordered the gluten-free base and it was surprisingly good.
6,The pepperoni pizza was greasy and lacked spice.
7,Fantastic variety of vegetarian pizzas with rich flavors!
8,The service was slow but the cheese-stuffed crust made up for it.
9,I asked for extra mushrooms and they nailed it!
10,Tried the vegan special. It was okay but needed more seasoning.
